step=10 pts=50000 plates=20 total=34.3ms | move=0.4 boundary=1.5 subduction=19.2 collision=8.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=5.1 resample=0.0
step=12 pts=50000 plates=20 total=34.3ms | move=0.4 boundary=1.5 subduction=19.8 collision=7.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.9 resample=0.0
step=14 pts=50000 plates=20 total=32.1ms | move=0.3 boundary=1.5 subduction=17.9 collision=7.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.7 resample=0.0
step=16 pts=50000 plates=20 total=29.9ms | move=0.3 boundary=1.4 subduction=17.2 collision=6.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=18 pts=50000 plates=20 total=29.6ms | move=0.3 boundary=1.2 subduction=16.9 collision=7.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=20 pts=50000 plates=20 total=30.1ms | move=0.3 boundary=1.4 subduction=17.1 collision=7.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.2 resample=0.0
step=22 pts=50000 plates=20 total=29.5ms | move=0.3 boundary=1.3 subduction=16.9 collision=7.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=24 pts=50000 plates=20 total=29.1ms | move=0.3 boundary=1.2 subduction=16.5 collision=6.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.3 resample=0.0
step=26 pts=50000 plates=20 total=30.2ms | move=0.3 boundary=1.2 subduction=17.0 collision=7.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.4 resample=0.0
step=28 pts=50000 plates=20 total=29.6ms | move=0.3 boundary=1.2 subduction=16.5 collision=6.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.6 resample=0.0
step=30 pts=50000 plates=20 total=29.4ms | move=0.3 boundary=1.3 subduction=16.6 collision=7.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=32 pts=50002 plates=20 total=733.3ms | move=0.3 boundary=1.2 subduction=16.5 collision=7.0 rift=0.0 rift_bnd=0.0 oceanic=704.3 erosion=4.0 resample=0.0
step=34 pts=50002 plates=20 total=77.9ms | move=0.3 boundary=6.2 subduction=57.5 collision=9.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.4 resample=0.0
step=36 pts=50002 plates=20 total=81.5ms | move=0.3 boundary=8.5 subduction=59.6 collision=9.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=38 pts=50002 plates=20 total=77.5ms | move=0.3 boundary=6.2 subduction=58.5 collision=8.4 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
  RESAMPLE: total=1625ms | old_delaunay=688 new_delaunay=666 adjacency=5 flood=11 interp=253
step=40 pts=50000 plates=22 total=2423.4ms | move=0.3 boundary=6.3 subduction=59.2 collision=8.3 rift=711.3 rift_bnd=7.1 oceanic=0.0 erosion=5.0 resample=1625.8
step=42 pts=50000 plates=22 total=27.1ms | move=0.3 boundary=1.2 subduction=15.8 collision=5.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=44 pts=50000 plates=22 total=27.0ms | move=0.3 boundary=1.2 subduction=15.7 collision=5.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=46 pts=50000 plates=22 total=27.3ms | move=0.3 boundary=1.2 subduction=15.7 collision=6.0 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=48 pts=50000 plates=22 total=27.3ms | move=0.3 boundary=1.2 subduction=15.9 collision=5.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=50 pts=50000 plates=22 total=28.2ms | move=0.3 boundary=1.3 subduction=16.3 collision=6.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.1 resample=0.0
step=52 pts=50000 plates=22 total=27.0ms | move=0.3 boundary=1.4 subduction=15.5 collision=5.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=54 pts=50000 plates=22 total=26.7ms | move=0.3 boundary=1.2 subduction=15.1 collision=6.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=56 pts=50000 plates=22 total=27.3ms | move=0.3 boundary=1.3 subduction=15.0 collision=6.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.8 resample=0.0
step=58 pts=50000 plates=22 total=26.6ms | move=0.3 boundary=1.3 subduction=14.6 collision=6.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
