    plate[12]: 29132 samples, 40011 mesh verts, 78343 tris
    plate[13]: 16220 samples, 17716 mesh verts, 34570 tris
    plate[14]: 29872 samples, 45731 mesh verts, 74547 tris
    plate[15]: 18476 samples, 28867 mesh verts, 56014 tris
    plate[16]: 11120 samples, 21826 mesh verts, 37213 tris
    plate[17]: 6964 samples, 11341 mesh verts, 21962 tris
    plate[18]: 26507 samples, 37901 mesh verts, 67187 tris
    plate[19]: 18686 samples, 33993 mesh verts, 65587 tris
  crust: cont=224987 (43.8%) ocean=288676 below_sea=0 elev=[0.000,184.118] avg=14.333 andean=54327 himalayan=19872
  after assign_samples step=8: assigned=348399/500000 gap=151601 plates=20
    plate[0]: 14645 samples, 18343 mesh verts, 35542 tris
    plate[1]: 9858 samples, 12216 mesh verts, 23736 tris
    plate[2]: 10238 samples, 19130 mesh verts, 37247 tris
    plate[3]: 618 samples, 18526 mesh verts, 35874 tris
    plate[4]: 9848 samples, 12676 mesh verts, 24617 tris
    plate[5]: 23374 samples, 37897 mesh verts, 73812 tris
    plate[6]: 18474 samples, 20884 mesh verts, 40748 tris
    plate[7]: 13542 samples, 18981 mesh verts, 37049 tris
    plate[8]: 19427 samples, 23330 mesh verts, 45454 tris
    plate[9]: 20688 samples, 26871 mesh verts, 52537 tris
    plate[10]: 30279 samples, 33992 mesh verts, 66715 tris
    plate[11]: 27827 samples, 33431 mesh verts, 60424 tris
    plate[12]: 28041 samples, 40011 mesh verts, 78343 tris
    plate[13]: 16105 samples, 17716 mesh verts, 34570 tris
    plate[14]: 28884 samples, 45731 mesh verts, 74547 tris
    plate[15]: 17280 samples, 28867 mesh verts, 56014 tris
    plate[16]: 10108 samples, 21826 mesh verts, 37213 tris
    plate[17]: 6432 samples, 11341 mesh verts, 21962 tris
    plate[18]: 25547 samples, 37901 mesh verts, 67187 tris
    plate[19]: 17184 samples, 33993 mesh verts, 65587 tris
  crust: cont=226175 (44.0%) ocean=287488 below_sea=0 elev=[0.000,238.164] avg=16.567 andean=56649 himalayan=19496
  after assign_samples step=9: assigned=337990/500000 gap=162010 plates=20
    plate[0]: 14463 samples, 18343 mesh verts, 35542 tris
    plate[1]: 9614 samples, 12216 mesh verts, 23736 tris
    plate[2]: 10628 samples, 19130 mesh verts, 37247 tris
    plate[3]: 618 samples, 18526 mesh verts, 35874 tris
    plate[4]: 9942 samples, 12676 mesh verts, 24617 tris
    plate[5]: 22001 samples, 37897 mesh verts, 73812 tris
    plate[6]: 18270 samples, 20884 mesh verts, 40748 tris
    plate[7]: 13015 samples, 18981 mesh verts, 37049 tris
    plate[8]: 19143 samples, 23330 mesh verts, 45454 tris
    plate[9]: 20330 samples, 26871 mesh verts, 52537 tris
    plate[10]: 29994 samples, 33992 mesh verts, 66715 tris
    plate[11]: 27571 samples, 33431 mesh verts, 60424 tris
    plate[12]: 27014 samples, 40011 mesh verts, 78343 tris
    plate[13]: 15965 samples, 17716 mesh verts, 34570 tris
    plate[14]: 27882 samples, 45731 mesh verts, 74547 tris
    plate[15]: 16086 samples, 28867 mesh verts, 56014 tris
    plate[16]: 9130 samples, 21826 mesh verts, 37213 tris
    plate[17]: 5946 samples, 11341 mesh verts, 21962 tris
    plate[18]: 24605 samples, 37901 mesh verts, 67187 tris
    plate[19]: 15773 samples, 33993 mesh verts, 65587 tris
  crust: cont=227196 (44.2%) ocean=286467 below_sea=0 elev=[0.000,287.355] avg=19.155 andean=66561 himalayan=11351
  after assign_samples step=10: assigned=327687/500000 gap=172313 plates=20
    plate[0]: 14302 samples, 18363 mesh verts, 35562 tris
    plate[1]: 9204 samples, 12237 mesh verts, 23757 tris
    plate[2]: 10693 samples, 19139 mesh verts, 37256 tris
    plate[3]: 619 samples, 18526 mesh verts, 35874 tris
    plate[4]: 10026 samples, 12676 mesh verts, 24617 tris
    plate[5]: 20638 samples, 37900 mesh verts, 73815 tris
    plate[6]: 18071 samples, 20920 mesh verts, 40784 tris
    plate[7]: 12488 samples, 18983 mesh verts, 37051 tris
    plate[8]: 18848 samples, 23338 mesh verts, 45462 tris
    plate[9]: 19918 samples, 26907 mesh verts, 52573 tris
    plate[10]: 29709 samples, 33992 mesh verts, 66715 tris
    plate[11]: 27283 samples, 33437 mesh verts, 60430 tris
    plate[12]: 26072 samples, 40025 mesh verts, 78357 tris
    plate[13]: 15740 samples, 17741 mesh verts, 34595 tris
    plate[14]: 26892 samples, 45731 mesh verts, 74547 tris
    plate[15]: 14988 samples, 28918 mesh verts, 56065 tris
    plate[16]: 8173 samples, 21857 mesh verts, 37244 tris
    plate[17]: 5802 samples, 11341 mesh verts, 21962 tris
    plate[18]: 23688 samples, 37906 mesh verts, 67192 tris
    plate[19]: 14533 samples, 34010 mesh verts, 65604 tris
  crust: cont=230182 (44.8%) ocean=283765 below_sea=0 elev=[0.000,330.137] avg=22.739 andean=74493 himalayan=7029
  after assign_samples step=11: assigned=315695/500000 gap=184305 plates=20
    plate[0]: 14164 samples, 18363 mesh verts, 35562 tris
    plate[1]: 8671 samples, 12237 mesh verts, 23757 tris
    plate[2]: 10759 samples, 19139 mesh verts, 37256 tris
    plate[3]: 618 samples, 18526 mesh verts, 35874 tris
    plate[4]: 10088 samples, 12676 mesh verts, 24617 tris
    plate[5]: 19278 samples, 37900 mesh verts, 73815 tris
    plate[6]: 15595 samples, 20918 mesh verts, 40780 tris
    plate[7]: 12004 samples, 18983 mesh verts, 37051 tris
    plate[8]: 18537 samples, 23338 mesh verts, 45462 tris
    plate[9]: 19446 samples, 26907 mesh verts, 52573 tris
    plate[10]: 29414 samples, 33992 mesh verts, 66715 tris
    plate[11]: 27017 samples, 33437 mesh verts, 60430 tris
    plate[12]: 25208 samples, 40025 mesh verts, 78357 tris
    plate[13]: 15517 samples, 17741 mesh verts, 34595 tris
    plate[14]: 25892 samples, 45731 mesh verts, 74547 tris
    plate[15]: 13933 samples, 28918 mesh verts, 56065 tris
    plate[16]: 7266 samples, 21859 mesh verts, 37244 tris
    plate[17]: 6080 samples, 11341 mesh verts, 21962 tris
    plate[18]: 22776 samples, 37906 mesh verts, 67192 tris
    plate[19]: 13432 samples, 34010 mesh verts, 65604 tris
  crust: cont=231387 (45.0%) ocean=282560 below_sea=0 elev=[0.000,359.440] avg=26.268 andean=76664 himalayan=6720
  after assign_samples step=12: assigned=307056/500000 gap=192944 plates=20
    plate[0]: 13988 samples, 18363 mesh verts, 35562 tris
    plate[1]: 8065 samples, 12237 mesh verts, 23757 tris
    plate[2]: 10828 samples, 19139 mesh verts, 37256 tris
    plate[3]: 612 samples, 18526 mesh verts, 35874 tris
    plate[4]: 10159 samples, 12676 mesh verts, 24617 tris
    plate[5]: 17889 samples, 37900 mesh verts, 73815 tris
    plate[6]: 15592 samples, 20918 mesh verts, 40780 tris
    plate[7]: 11507 samples, 18983 mesh verts, 37051 tris
    plate[8]: 18249 samples, 23338 mesh verts, 45462 tris
    plate[9]: 18968 samples, 26907 mesh verts, 52573 tris
    plate[10]: 29153 samples, 33992 mesh verts, 66715 tris
    plate[11]: 26735 samples, 33437 mesh verts, 60430 tris
    plate[12]: 24609 samples, 40025 mesh verts, 78357 tris
    plate[13]: 15351 samples, 17741 mesh verts, 34595 tris
    plate[14]: 24906 samples, 45731 mesh verts, 74547 tris
    plate[15]: 12925 samples, 28918 mesh verts, 56065 tris
    plate[16]: 6366 samples, 21859 mesh verts, 37244 tris
    plate[17]: 6833 samples, 11341 mesh verts, 21962 tris
    plate[18]: 21881 samples, 37906 mesh verts, 67192 tris
    plate[19]: 12440 samples, 34010 mesh verts, 65604 tris
  crust: cont=234144 (45.6%) ocean=279803 below_sea=0 elev=[0.000,401.167] avg=29.731 andean=80402 himalayan=6575
  after assign_samples step=13: assigned=298599/500000 gap=201401 plates=20
    plate[0]: 13811 samples, 18382 mesh verts, 35581 tris
    plate[1]: 7445 samples, 12270 mesh verts, 23790 tris
    plate[2]: 11023 samples, 19164 mesh verts, 37281 tris
    plate[3]: 606 samples, 18526 mesh verts, 35874 tris
    plate[4]: 10219 samples, 12676 mesh verts, 24617 tris
    plate[5]: 16569 samples, 37913 mesh verts, 73828 tris
    plate[6]: 15589 samples, 20975 mesh verts, 40837 tris
    plate[7]: 11033 samples, 18983 mesh verts, 37051 tris
    plate[8]: 17960 samples, 23349 mesh verts, 45473 tris
    plate[9]: 18466 samples, 26939 mesh verts, 52605 tris
    plate[10]: 28928 samples, 33992 mesh verts, 66715 tris
    plate[11]: 26452 samples, 33447 mesh verts, 60440 tris
    plate[12]: 23967 samples, 40036 mesh verts, 78368 tris
    plate[13]: 15207 samples, 17764 mesh verts, 34618 tris
    plate[14]: 23864 samples, 45735 mesh verts, 74551 tris
    plate[15]: 11884 samples, 28972 mesh verts, 56119 tris
    plate[16]: 5504 samples, 21882 mesh verts, 37267 tris
    plate[17]: 7518 samples, 11341 mesh verts, 21962 tris
    plate[18]: 21033 samples, 37910 mesh verts, 67196 tris
    plate[19]: 11521 samples, 34027 mesh verts, 65621 tris
  crust: cont=238838 (46.4%) ocean=275445 below_sea=0 elev=[0.000,445.064] avg=33.230 andean=87081 himalayan=5288
  after assign_samples step=14: assigned=286111/500000 gap=213889 plates=20
    plate[0]: 13652 samples, 18382 mesh verts, 35581 tris
    plate[1]: 6765 samples, 12270 mesh verts, 23790 tris
    plate[2]: 11170 samples, 19164 mesh verts, 37281 tris
    plate[3]: 599 samples, 18526 mesh verts, 35874 tris
    plate[4]: 10277 samples, 12676 mesh verts, 24617 tris
    plate[5]: 15271 samples, 37913 mesh verts, 73828 tris
    plate[6]: 16587 samples, 20974 mesh verts, 40837 tris
    plate[7]: 10556 samples, 18983 mesh verts, 37051 tris
    plate[8]: 17691 samples, 23349 mesh verts, 45473 tris
    plate[9]: 18009 samples, 26939 mesh verts, 52605 tris
    plate[10]: 28706 samples, 33992 mesh verts, 66715 tris
    plate[11]: 26173 samples, 33447 mesh verts, 60440 tris
    plate[12]: 23269 samples, 40036 mesh verts, 78368 tris
    plate[13]: 15062 samples, 17764 mesh verts, 34618 tris
    plate[14]: 22684 samples, 45735 mesh verts, 74551 tris
    plate[15]: 10776 samples, 28972 mesh verts, 56119 tris
    plate[16]: 104 samples, 21882 mesh verts, 37267 tris
    plate[17]: 8027 samples, 11341 mesh verts, 21962 tris
    plate[18]: 20153 samples, 37911 mesh verts, 67196 tris
    plate[19]: 10580 samples, 34027 mesh verts, 65621 tris
  crust: cont=240828 (46.8%) ocean=273455 below_sea=0 elev=[0.000,492.353] avg=37.141 andean=89590 himalayan=5244
  after assign_samples step=15: assigned=277930/500000 gap=222070 plates=20
    plate[0]: 13494 samples, 18382 mesh verts, 35581 tris
    plate[1]: 5839 samples, 12160 mesh verts, 23549 tris
    plate[2]: 11244 samples, 19164 mesh verts, 37281 tris
    plate[3]: 589 samples, 18526 mesh verts, 35874 tris
    plate[4]: 10323 samples, 12676 mesh verts, 24617 tris
    plate[5]: 14053 samples, 37913 mesh verts, 73828 tris
    plate[6]: 16715 samples, 20974 mesh verts, 40837 tris
    plate[7]: 10105 samples, 18983 mesh verts, 37051 tris
    plate[8]: 17459 samples, 23349 mesh verts, 45473 tris
    plate[9]: 17613 samples, 26939 mesh verts, 52605 tris
    plate[10]: 28463 samples, 33992 mesh verts, 66715 tris
    plate[11]: 26016 samples, 33447 mesh verts, 60440 tris
    plate[12]: 22557 samples, 40036 mesh verts, 78368 tris
    plate[13]: 14888 samples, 17764 mesh verts, 34618 tris
    plate[14]: 21415 samples, 45845 mesh verts, 74551 tris
    plate[15]: 9696 samples, 28972 mesh verts, 56119 tris
    plate[16]: 92 samples, 21881 mesh verts, 37267 tris
    plate[17]: 8420 samples, 11341 mesh verts, 21962 tris
    plate[18]: 19297 samples, 37912 mesh verts, 67196 tris
    plate[19]: 9652 samples, 34027 mesh verts, 65621 tris
  crust: cont=241338 (46.9%) ocean=272945 below_sea=0 elev=[0.000,544.436] avg=41.164 andean=90515 himalayan=5504
  after assign_samples step=16: assigned=270512/500000 gap=229488 plates=20
    plate[0]: 13363 samples, 18406 mesh verts, 35605 tris
    plate[1]: 5501 samples, 12192 mesh verts, 23581 tris
    plate[2]: 11322 samples, 19204 mesh verts, 37321 tris
    plate[3]: 576 samples, 18526 mesh verts, 35874 tris
    plate[4]: 10376 samples, 12677 mesh verts, 24618 tris
    plate[5]: 12918 samples, 37913 mesh verts, 73828 tris
    plate[6]: 16830 samples, 21015 mesh verts, 40878 tris
    plate[7]: 9681 samples, 18983 mesh verts, 37051 tris
    plate[8]: 17244 samples, 23379 mesh verts, 45503 tris
    plate[9]: 17253 samples, 26962 mesh verts, 52628 tris
    plate[10]: 28248 samples, 33992 mesh verts, 66715 tris
    plate[11]: 25747 samples, 33453 mesh verts, 60446 tris
    plate[12]: 21995 samples, 40039 mesh verts, 78371 tris
    plate[13]: 14707 samples, 17787 mesh verts, 34641 tris
    plate[14]: 20160 samples, 45862 mesh verts, 74568 tris
    plate[15]: 8662 samples, 28991 mesh verts, 56138 tris
    plate[16]: 90 samples, 21880 mesh verts, 37267 tris
    plate[17]: 8628 samples, 11341 mesh verts, 21962 tris
    plate[18]: 18448 samples, 37916 mesh verts, 67199 tris
    plate[19]: 8763 samples, 34045 mesh verts, 65639 tris
  crust: cont=241866 (47.0%) ocean=272697 below_sea=0 elev=[0.000,611.499] avg=45.392 andean=91833 himalayan=5495
=== RESAMPLE step=16 t=32 Myr: 500000/500000 assigned, 0 gap, 20 plates ===
  plate[0]: 16470 pts assigned (was 18406 verts, 35605 tris)
  plate[1]: 11969 pts assigned (was 12192 verts, 23581 tris)
  plate[2]: 23655 pts assigned (was 19204 verts, 37321 tris)
  plate[3]: 20934 pts assigned (was 18526 verts, 35874 tris)
  plate[4]: 15588 pts assigned (was 12677 verts, 24618 tris)
  plate[5]: 38510 pts assigned (was 37913 verts, 73828 tris)
  plate[6]: 21727 pts assigned (was 21015 verts, 40878 tris)
  plate[7]: 20849 pts assigned (was 18983 verts, 37051 tris)
  plate[8]: 27556 pts assigned (was 23379 verts, 45503 tris)
  plate[9]: 25360 pts assigned (was 26962 verts, 52628 tris)
  plate[10]: 39999 pts assigned (was 33992 verts, 66715 tris)
  plate[11]: 40937 pts assigned (was 33453 verts, 60446 tris)
  plate[12]: 33626 pts assigned (was 40039 verts, 78371 tris)
  plate[13]: 20570 pts assigned (was 17787 verts, 34641 tris)
  plate[14]: 32382 pts assigned (was 45862 verts, 74568 tris)
  plate[15]: 14799 pts assigned (was 28991 verts, 56138 tris)
  plate[16]: 16600 pts assigned (was 21879 verts, 37267 tris)
  plate[17]: 16609 pts assigned (was 11341 verts, 21962 tris)
  plate[18]: 36232 pts assigned (was 37917 verts, 67199 tris)
  plate[19]: 25628 pts assigned (was 34045 verts, 65639 tris)
  new plate[0]: 17036 verts, 32938 tris
  new plate[1]: 12593 verts, 23835 tris
  new plate[2]: 24244 verts, 47316 tris
  new plate[3]: 22578 verts, 41835 tris
  new plate[4]: 16054 verts, 31173 tris
  new plate[5]: 43205 verts, 76842 tris
  new plate[6]: 22911 verts, 43521 tris
  new plate[7]: 21412 verts, 41702 tris
  new plate[8]: 28293 verts, 55111 tris
  new plate[9]: 26810 verts, 50698 tris
  new plate[10]: 42956 verts, 80103 tris
  new plate[11]: 41829 verts, 81984 tris
  new plate[12]: 37351 verts, 67407 tris
  new plate[13]: 21184 verts, 41196 tris
